pl_rade,pl_dens,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_mass,st_age
1.015,1.269760544863939,0.1256999999999999,412.4,0.027,3173.0,0.1635,5.0667
2.52,1.2149127443642704,0.0,938.0,0.0745,5934.0,1.07,3.72
2.58,1.1939224684724346,0.0,498.0,0.253,5518.0,0.91,4.47
2.3,1.297463147413275,0.0,290.5,0.1617,3641.0,0.528,4.2
7.65,0.4427608928518613,0.0,369.0,0.5183,5730.0,1.0,4.27
1.99552771,1.43746264769429,0.0,730.735,0.102,5890.0,0.9510269999999998,5.670999999999999
1.32,1.7749523509116738,0.032,584.0,0.0322,3392.0,0.408,5.747999999999999
5.76,0.2851789422336624,0.0,817.0,0.1493,6069.0,1.17,3.99
3.65,1.0296194171811583,0.001,885.0,0.085,5565.0,1.058,6.5
11.309881,0.6830968447064438,0.047,1218.0,0.03694,5131.0,0.887,9.4
4.34,0.7747271675523681,0.0794,923.0,0.0959,5793.0,0.83,13.236
1.22719556,1.9473377010464987,0.0,1022.0,0.037,5242.0,0.684,14.0
2.43836702,1.244154593958768,0.0,584.0,0.0885,4703.0,0.6860000000000002,1.0
5.22,0.6502396795486688,0.2518,1042.0,0.102,5631.0,1.0,5.539000000000001
1.69,1.6054298910365616,0.0,422.68,0.044,3286.0,0.26,10.0
0.92,1.8066480817218056,0.0,1016.0,0.049,5595.0,0.918,3.63
2.68,1.1568811967920856,0.0,989.0,0.05947,5646.0,0.96,4.27
2.88046569,1.095273387402595,0.0,568.0,0.2249,6072.0,0.96,3.3
4.05537256,0.8241754429663495,0.0,391.0,0.3815,5661.0,0.941,0.8
2.243,1.324418957401803,0.0469,884.2479999999999,0.102,5822.0,1.119,7.002
15.27784069,0.2926696139628199,0.0,1376.0,0.0493,5721.0,0.977,9.5
13.4,0.8754687373538999,0.147,597.47,1.157,4943.0,1.63,2.0
18.41635529,0.3920420877760237,0.053,2090.0,0.04392,6860.0,1.637,0.65
2.43,1.247032293786383,0.0,751.0,0.077,5360.0,0.855,0.6
13.67498,0.4523486940070148,0.0,1389.0,0.0415,5700.0,1.7800000000000002,8.6
0.75,1.7083778602890038,0.0,503.0,0.112,4661.0,0.78,3.24
2.53,1.208960345836975,0.0,964.0,0.0546,5441.0,0.89,4.79
3.08,1.0367368849500225,0.0,489.0,0.1635,5021.0,0.8,5.01
1.24,1.9416152247724323,0.0,1019.0,0.1008199999999999,5748.0,1.05,7.59
2.83,1.1118575154181305,0.0,450.0,0.066,3703.49,0.5,3.62
2.82,1.11514159061932,0.0,441.0,0.4001,5664.0,0.95,4.17
2.6,2.1400661634962708,0.34,863.0,0.048,5145.0,0.863,0.4
7.1,0.0295588022415444,0.04,543.0,0.2514,6018.0,1.04,0.3
1.19,1.9315214116032136,0.0,1234.0,0.0241,4940.0,0.76,5.62
2.67,1.1631508098056809,0.0,503.0,0.262,5665.0,0.97,4.27
13.204,0.636576829071551,0.058,1271.0,0.0379,5500.0,0.929,3.6
2.32,1.2919836816486496,0.0,545.0,0.1202,4990.0,0.8200000000000001,3.39
3.56,0.9202827531436926,0.0,392.5,0.16071,4135.0,0.629,4.873499999999999
0.83,1.7561322915849038,0.0,1397.0,0.04608,5880.0,1.06,6.31
14.3,0.2279320680460069,0.14,640.258,0.177,5460.0,0.9300000000000002,7.516000000000001
1.06,1.8779371654691075,0.0,1188.0,0.0114,4105.0,0.64,3.47
2.28,1.308332819650179,0.0,966.0,0.0463,5047.0,0.8200000000000001,4.47
2.11934728,1.3787660946990992,0.0,789.0,0.0615,5076.0,0.86,1.2
2.75,1.1346227261911428,0.07,498.91,0.026,3324.0,0.27,4.324
0.95,1.8213182714696,0.0,1236.0,0.05207,5940.0,1.07,3.8
1.5,1.7334238922150915,0.0,838.0,0.08832,5769.0,0.98,4.47
3.59970536,0.9082585601768908,0.022,710.8,0.102,6045.0,1.162095,4.6728000000000005
3.74,0.8837675401685949,0.03,278.0,0.812,5348.0,0.81,8.7
9.180171,0.7884573603642702,0.26,206.0,2.026,5597.0,1.011,5.0
4.14042267,0.8064758658669486,0.0,646.0,0.2242899999999999,6212.0,1.082,3.47
3.22,1.000631880307906,0.1,785.3,0.1254,5898.0,0.96,4.841
14.4595851,0.2231435513142097,0.16,1621.0,0.0494,5840.0,1.2400000000000002,4.7
2.67,1.1631508098056809,0.0,570.0,0.287,5918.0,0.842,12.3
1.39,1.8115620965242347,0.0,666.9,0.03,3726.0,0.52,8.38
2.27,1.3110318766193438,0.0,1129.0,0.0426,5370.0,0.877,9.776000000000002
1.16,1.918392120161421,0.0,577.0,0.058,4204.0,0.587,3.31
12.67,1.269760544863939,0.014,1238.0,0.0506,6027.0,1.08,3.393
1.73,1.5810384379124025,0.0,1343.0,0.0277,5470.0,0.91,4.57
0.994,2.6210388241125804,0.0,603.1,0.0924,4664.0,0.703,3.9
2.4,1.258460989610006,0.0,1143.0,0.0687,5754.0,1.0,4.68
2.206,1.181906013745487,0.01,896.0,0.12012,5828.0,1.078,9.12
2.79,1.275362800412609,0.09,714.0,0.0604,4511.0,0.73,0.48
2.79,1.1216775615991057,0.00071,1061.0,0.1151,6504.0,1.32,2.8499
1.56,1.6882490928583902,0.098,1311.0,0.102,3949.0,0.57,3.895
10.581296,0.7504722471792148,0.074,818.0,0.04117,4390.0,0.645,3.9
1.87,1.410986973710262,0.063,467.0,0.1646,4684.0,0.67,7.855500000000001
1.81,1.534714366238164,0.0,401.0,0.2832,5225.0,0.861,0.5
3.46,2.3739750890807185,0.03,1479.0,0.0213,4985.0,0.8370000000000001,4.628
2.57,1.0647107369924282,0.0,487.0,0.23236,5360.0,0.8800000000000001,4.57
0.8,1.7387102481382395,0.0,1249.0,0.0337,5697.0,0.95,3.47
2.1,0.5653138090500605,0.022,453.0,0.0619,3705.0,0.51,4.83
1.46,1.7613002617433464,0.0,2080.0,0.01714,4870.0,0.79,4.37
16.02887,0.2151113796169455,0.0,1560.0,0.05057,6380.0,1.41,1.14
13.5,0.8153648132841945,0.303,379.4,1.084,4965.0,0.8279999999999998,0.96
6.43,0.530039842689795,0.0,240.0,0.2952,3724.0,0.55,5.13
4.91,0.6564831961883539,0.14,513.0,0.249,5485.0,0.905,8.5
4.77,0.708035793053696,0.065,840.4979999999999,0.068,4837.0,0.79,4.613
1.1,1.8961194845522973,0.09,726.2,0.0164,3622.0,0.2919999999999999,3.191
4.02,0.8285518175661483,0.0,1056.0,0.0647,6000.0,1.1,3.55
0.82,1.749199854809259,0.0,1752.0,0.03752,6230.0,1.26,3.39
11.06326395,0.5933268452777344,0.09,684.0,0.249,6170.0,1.21,2.53
5.11,0.664233170395303,0.35,362.2,0.476,5577.0,0.942,8.96
1.58,1.6770965609079151,0.0,1356.0,0.046,5952.0,1.171,2.3
0.981,1.837369980480108,0.036,462.95,0.04,3490.0,0.345,7.0
6.54,0.521171915820135,0.0,1023.0,0.0455,5355.0,0.8800000000000001,4.47
