pl_name,hostname,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,st_teff,st_lum,st_rad,st_mass,st_age
K2-240 c,K2-240,1.8,3.890000000000001,3.67,0.014,389.0,4.939191438638236,20.523000000000003,0.1159,3810.0,-1.27572,0.54,0.58,4.057
K2-241 b,K2-241,2.55,7.040000000000001,2.33,0.0545,507.0,11.86745151161689,26.819900000000004,0.1567,5262.0,-0.44608,0.75,0.71,7.010000000000001
K2-242 b,K2-242,2.54,6.989999999999999,2.34,0.0661,416.0,5.320277104614089,6.51389,0.0494,3459.0,-1.808,0.37,0.38,4.887700000000001
K2-243 b,K2-243,2.17,5.3500000000000005,2.88,0.0028,1035.0,232.2858410433273,11.541819999999998,0.1087,6570.0,0.42675,1.3899999999999997,1.29,2.3100000000000005
K2-243 c,K2-243,2.01,4.699999999999999,3.18,0.0,801.0,93.70042151755833,24.945979999999995,0.1816999999999999,6570.0,0.42675,1.3899999999999997,1.29,2.493
K2-244 b,K2-244,1.75,3.71,3.8,0.0731,638.0,31.539076050251648,21.06884,0.1418,5677.0,-0.118,0.9200000000000002,0.86,6.802
K2-245 b,K2-245,4.34,17.4,1.17,0.0794,923.0,82.99999999999997,11.893069999999998,0.0959,5793.0,0.1719,1.25,0.83,13.236
K2-246 b,K2-246,3.49,12.0,1.5499999999999998,0.0825999999999999,977.0,159.3372996634881,5.76918,0.0602,5610.0,-0.15088,0.94,0.87,6.85
K2-247 b,K2-247,2.12,5.140000000000001,2.9600000000000004,0.0799,979.0,173.11779209309694,2.25021,0.0304,4667.0,-0.88154,0.69,0.74,8.682999999999998
K2-247 c,K2-247,2.19,5.43,2.8400000000000003,0.0,688.0,41.39517374889826,6.4942400000000005,0.0615,4667.0,-0.88154,0.69,0.74,4.182
K2-248 b,K2-248,2.57,7.13,2.31,0.0,886.0,138.38170808420486,7.172560000000001,0.0699,5528.0,-0.18938,0.9200000000000002,0.8800000000000001,3.4459999999999997
K2-249 b,K2-249,2.79,8.2,2.07,0.00071,1061.0,191.5540783305825,12.409,0.1151,6504.0,0.33627,1.5700000000000005,1.32,2.8499
K2-25 b,K2-25,3.44,24.5,3.3100000000000005,0.428,494.0,9.910000000000004,3.48456408,0.0287,3207.0,-2.08831,0.2932,0.2634,0.73
K2-250 b,K2-250,2.71257333,7.81,2.1500000000000004,0.21,1003.0,179.98084788690943,4.013919999999999,0.04606,5003.0,-0.44491,0.797,0.8090000000000002,8.2
K2-251 b,K2-251,2.35,6.120000000000001,2.59,0.1003,437.0,6.374442094941756,9.30075,0.0694,3717.0,-1.34211,0.49,0.52,3.518
K2-252 b,K2-252,1.74,3.68,3.84,0.0487,639.0,29.19616772200447,13.81513,0.1041,5152.0,-0.40842,0.8200000000000001,0.79,7.218999999999999
K2-253 b,K2-253,12.67,9.22,2.56,0.014,1238.0,365.8185000000001,4.00167,0.0506,6027.0,-0.07738,1.1,1.08,3.393
K2-254 b,K2-254,1.63,3.29,4.17,0.0232,791.0,73.34311394797228,4.09639,0.0448,4629.0,-0.82244,0.67,0.71,7.697
K2-254 c,K2-254,2.19,5.43,2.8400000000000003,0.0313,551.0,17.5407808224831,12.118389999999998,0.0923,4629.0,-0.82244,0.67,0.71,6.583000000000001
