pl_name,hostname,pl_rade,pl_dens,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_mass,st_age,LSS,hz_score,temp_score,retention_score,orbit_score,stellar_score
AT2021ueyL b,AT2021ueyL,13.6,0.6575200029167942,0.36893,333.4,4.01,3680.0,0.49,6.5,0.28163789390475163,9.757435282525966e-08,0.6186596475026226,1.0763421918867746e-10,0.4781360325754237,0.7915934459900331
AU Mic b,AU Mic,3.95677019,0.8415671856782186,0.00577,600.0,0.0649,3678.0,0.51,0.0201,0.2932825010512981,0.12770078468753238,0.34469327838084984,0.12015458341264668,0.9885263304038653,0.3953035709253345
AU Mic c,AU Mic,2.52202066,0.7975071958841881,0.00338,459.0,0.1108,3678.0,0.51,0.0201,0.3685035380589566,0.2170311340928761,0.43902576362330814,0.21964781693998175,0.9932627974009312,0.3953035709253345
AU Mic d,AU Mic,1.02,1.864080130807681,0.00305,807.4,0.102,3678.0,0.51,0.0201,0.4473523182289136,0.19725014953087808,0.19267938663505815,0.9561135270953143,0.993918567227454,0.3953035709253345
AU Mic e,AU Mic,4.87,0.6931471805599453,0.1557,480.0100000000001,0.102,3665.0,0.6000000000000001,0.0185,0.2995294960029657,0.18555056807609574,0.42683217816947727,0.07669665817804443,0.73242084892828,0.39297336105526004
BD+05 4868 A b,BD+05 4868 A,2.839553935,1.269760544863939,0.1241,1820.0,0.0208,4596.0,0.7,11.1,0.2288904389656375,0.06501299622953553,0.0002371126281241266,0.27682807401641146,0.7802038868955371,0.7269060863543302
BD+14 4559 b,BD+14 4559,13.8,0.5253200699164432,0.29,186.19,0.78,4864.0,0.49,5.561,0.6558106745629091,0.9444569730498765,0.6907982211212164,3.376658266140136e-11,0.559898366565402,0.9656134205185476
BD+20 594 b,BD+20 594,2.57807,2.1849270495258133,0.0,546.0,0.241,5766.0,1.6699999999999997,3.34,0.4647636411552964,0.14933196654752817,0.3837456538719622,0.5944253141397018,1.0,0.9767597656773057
BD+45 564 b,BD+45 564,13.6,0.6647477060382473,0.12,448.8,0.83,5004.0,0.81,5.415000000000001,0.637680991211479,0.9999694639114135,0.4446279981847657,1.0925451926248548e-10,0.7866278610665535,0.9787189316778657
BD+55 362 b,BD+55 362,14.0,0.3770656335864664,0.27,438.2,0.78,5012.0,0.909,5.763,0.5973992543108995,0.9389496613264215,0.45021538357411833,9.28315061507302e-12,0.5827482523739896,0.979382017138668
BD-06 1339 b,BD-06 1339,2.839553935,1.269760544863939,0.0,949.8,0.0428,4324.0,0.7,4.4,0.3057483721269004,0.09518148931225037,0.11061144872485043,0.27682807401641146,1.0,0.8941637388311787
BD-06 1339 c,BD-06 1339,8.38,0.4021262068426497,0.31,396.8,0.435,4324.0,0.7,4.4,0.6046704042616544,0.982702385888098,0.46954914737853437,0.0006323235680063099,0.5379444375946745,0.8941637388311787
BD-08 2823 b,BD-08 2823,2.839553935,1.269760544863939,0.15,618.2,0.06,4816.0,0.5,4.5,0.33956294069066895,0.08941145430037818,0.3310853173215853,0.27682807401641146,0.7408182206817179,0.9605016548368619
BD-08 2823 c,BD-08 2823,12.5,0.2569650997897204,0.19,350.29,0.6800000000000002,4746.0,0.74,4.5,0.6320126856269599,0.9868220132403939,0.49194449553232056,2.8303936691880898e-09,0.6838614092123558,0.9525271562242759
BD-10 3166 b,BD-10 3166,14.1,0.3133498192003587,0.02,1292.6,0.04,5393.0,1.4700000000000002,0.25,0.18829009086049825,0.06568576956667865,0.017291068533006358,4.771916864209604e-12,0.9607894391523232,0.6489836046272244
BD-11 4672 b,BD-11 4672,14.1,0.3400373027857091,0.05,526.22,2.36,4550.0,0.651,7.4,0.28254380912006305,8.418988712037462e-17,0.397316104624299,5.2517019837089394e-12,0.9048374180359595,0.9273104115934196
BD-11 4672 c,BD-11 4672,4.04,0.8241754429663495,0.4,265.92,0.3,4550.0,0.651,7.4,0.6158427999988713,0.592079298504513,0.9907271356477442,0.11634662019645821,0.44932896411722156,0.9273104115934196
BD-14 3065 b,BD-14 3065 A,21.59,1.1474024528375415,0.066,2001.0,0.0656,6935.0,1.41,2.24,0.193074919875674,0.05748522398245208,3.6443053982625814e-05,2.6873037450097612e-31,0.8763409950793732,0.853118812103828
BD-17 63 b,BD-17 63,12.8,1.667706820558076,0.5439,195.7,1.34,4714.0,0.7410000000000001,4.3,0.3225102153479228,0.011430396377515526,0.759780440704108,1.3108752895274725e-08,0.33695698423380344,0.9486876539463445
BD-210397 b,BD-210397,14.0,0.3569748989477302,0.1,84.22,2.63,4051.0,0.679,6.2,0.2810697404734113,3.4112746145700836e-26,0.4564435103135698,8.695352868703763e-12,0.8187307530779818,0.8508578758548162
BEBOP-3 b,BEBOP-3,14.2,0.2926696139628199,0.247,614.1,1.444,6033.0,1.083,5.184,0.5149500699066724,0.7795379393279322,0.33416355781487006,2.8080762794245994e-12,0.6101807830906798,0.97552823378549
Barnard b,Barnard's star,0.72,1.6863989535702286,0.03,438.0,0.0229,3195.0,0.162,4.74,0.5103769491630737,0.23010911517239324,0.45031843841292213,0.7539990297721939,0.9417645335842487,0.7228288993664194
Barnard c,Barnard's star,0.743,1.7029282555214391,0.08,400.0,0.0274,3195.0,0.162,5.366,0.5302624868477929,0.28960652886919497,0.4682044096994376,0.7717591524272607,0.8521437889662113,0.7228288993664194
Barnard d,Barnard's star,0.694,1.6714733033535532,0.04,483.0,0.0188,3195.0,0.162,5.254,0.4822130888217858,0.18345968948268007,0.42502929604622364,0.7357517445799318,0.9231163463866358,0.7228288993664194
Barnard e,Barnard's star,0.637,1.62924053973028,0.04,340.0,0.0381,3195.0,0.162,6.757000000000001,0.6069256440208972,0.4625634365168567,0.568671053718672,0.6913307661751198,0.9231163463866358,0.7228288993664194
CD Cet b,CD Cet,1.82,1.5260563034950494,0.13491,464.0,0.0185,3130.0,0.161,3.0,0.46819145023650255,0.20024351369482493,0.4362017969970655,0.706116204481392,0.7635169150133236,0.714808387964367
CI Tau c,CI Tau,13.0,1.3506671834767394,0.58,671.29,0.1699999999999999,3807.0,0.9,0.0025,0.19228478289653683,0.13428432985075262,0.2909216059769023,3.9526081733101745e-09,0.3134861808826053,0.4120624707576568
CoRoT-1 b,CoRoT-1,16.7,0.3220834991691133,0.0,1898.0,0.02752,5950.0,0.95,1.6,0.2104019222967895,0.057528292847335,0.00010848210759293742,9.365321091909694e-18,1.0,0.9023989927332401
CoRoT-10 b,CoRoT-10,10.87,1.547562508716013,0.53,600.0,0.1055,5075.0,0.89,3.0,0.2690063060856712,0.14216941200354066,0.34469327838084984,9.355192847488503e-06,0.3464558103300574,0.984262402176443
CoRoT-11 b,CoRoT-11,16.03,0.688134638736401,0.0,1657.0,0.0436,6440.0,1.27,2.0,0.214060163507295,0.05977906674751558,0.0010747580843299318,9.692955148809059e-16,1.0,0.9286880062458185
CoRoT-12 b,CoRoT-12,16.14,0.3442986728706769,0.07,1442.0,0.04016,5675.0,1.078,6.3,0.20994139662481742,0.06213383926090622,0.006120109407593431,2.228804621262077e-16,0.8693582353988059,0.9972870199172124
CoRoT-13 b,CoRoT-13,9.92,1.205970806988609,0.0,1700.0,0.051,5945.0,1.09,1.635,0.2138755099926615,0.06484765585913817,0.0007331022976671381,8.804612234384091e-05,1.0,0.9097794564307757
CoRoT-14 b,CoRoT-14,12.22,2.1162555148025524,0.0,1952.0,0.027,6035.0,1.13,4.2,0.2180460621295825,0.05855884008614743,6.174174315042111e-05,1.506438823497669e-07,1.0,0.9753500253486682
CoRoT-16 b,CoRoT-16,13.11,0.3646431135879092,0.33,1048.9,0.0618,5650.0,1.098,6.73,0.19758830689283313,0.08189679103178063,0.06975518934686462,3.9058275648527897e-10,0.5168513344916992,0.998004991677073
CoRoT-17 b,CoRoT-17,11.43,1.3402504226184837,0.0,1626.0,0.0461,5740.0,1.04,10.7,0.20382339481198664,0.06280113706502442,0.0014059735393764019,1.202953861794425e-06,1.0,0.8149126286361161
CoRoT-18 b,CoRoT-18,14.68,1.1631508098056809,0.08,1550.0,0.0295,5440.0,0.95,0.6,0.17948018008712877,0.061816348480560154,0.0026482657013293903,1.9592596505392903e-12,0.8521437889662113,0.7196801279658736
CoRoT-19 b,CoRoT-19,14.46,0.5364933705145685,0.047,2000.0,0.0518,6090.0,1.21,5.0,0.20893295048804003,0.05963724368427722,3.684280145758598e-05,1.777361772173442e-12,0.910282762240767,0.9702242827374643
CoRoT-2 b,CoRoT-2,16.432,0.904218150639886,0.0143,1521.0,0.02798,5625.0,0.96,2.7,0.21919691381606896,0.060914372224409624,0.003340082804414582,1.618403363199276e-16,0.9718051087760714,0.9986135195881476
CoRoT-21 b,CoRoT-21,14.5717,0.8586616190375187,0.0,2154.864,0.0417,6200.0,1.29,4.1,0.21591990781320058,0.057271791393572434,6.3137406859893975e-06,2.019907244817679e-12,1.0,0.9587320238987476
CoRoT-22 b,CoRoT-22,4.88,0.2223432311434406,0.077,885.0,0.092,5939.0,1.099,3.3,0.25135350970818093,0.07810477530290341,0.14464689974978084,0.019024110662664084,0.8572720210114575,0.9832308918104093
CoRoT-23 b,CoRoT-23,11.77,1.3862943611198906,0.16,1660.0,0.048,5900.0,1.14,7.2,0.19383948421366445,0.06388578175168003,0.0010468440521010473,4.058429742626335e-07,0.7261490370736909,0.9860276471158722
CoRoT-24 b,CoRoT-24,3.7,0.6418538861723948,0.0,1070.0,0.056,4950.0,0.91,11.0,0.23956291356298565,0.08533083786354949,0.06273408832971782,0.0830705104874787,1.0,0.7739949613081814
CoRoT-24 c,CoRoT-24,5.0,0.832909122935104,0.0,850.0,0.098,4950.0,0.91,11.0,0.2792974874994908,0.11902664001002969,0.1653856423869074,0.09446128384217692,1.0,0.7739949613081814
CoRoT-25 b,CoRoT-25,12.11,0.1397619423751586,0.0,1330.0,0.0578,6040.0,1.09,4.5,0.22378667871149477,0.06548425386960462,0.013507971240132558,6.112964392287989e-09,1.0,0.9749019582450711
CoRoT-26 b,CoRoT-26,14.12,0.2468600779315258,0.0,1600.0,0.0526,5590.0,1.09,8.6,0.2175724792930533,0.06058894589121319,0.0017531338773097373,3.3187495845828893e-12,1.0,0.9592806476113749
CoRoT-27 b,CoRoT-27,11.287,2.6100697927420065,0.065,1500.0,0.0476,5900.0,1.05,4.21,0.21117358457553737,0.0679312029634043,0.003938421361783332,3.7519712832787183e-06,0.8780954309205613,0.9860276471158722
CoRoT-28 b,CoRoT-28,10.704595,0.5247285289349821,0.047,1338.753,0.0603,5150.0,1.01,12.0,0.18836133018568252,0.0625428236894417,0.012733436547918829,2.873388330583672e-06,0.910282762240767,0.7225913185565538
CoRoT-29 b,CoRoT-29,10.0881,0.8960880245566356,0.082,1136.6439999999998,0.0386,5260.0,0.97,4.5,0.2177070028187868,0.06377003342342184,0.04406023400319309,3.483784079283456e-05,0.8487420218802068,0.9949126286361163
CoRoT-30 b,CoRoT-30,11.309881,1.4929040961781488,0.007,1058.0,0.0844,5650.0,0.98,3.0,0.24420052703902426,0.0832150156691154,0.06665832689116676,2.1811902434160743e-06,0.9860975442628619,0.998004991677073
CoRoT-31 b,CoRoT-31,16.36514,0.2851789422336624,0.02,1637.6,0.0586,5700.0,1.25,4.7,0.21779164287949704,0.06213879053883352,0.0012724090245663365,5.25158821657308e-17,0.9607894391523232,0.996460200195314
CoRoT-32 b,CoRoT-32,6.38913,0.7419373447293773,0.0780999999999999,938.0,0.071,5970.0,1.08,1.1187,0.22739527397180812,0.07625502729499715,0.11637642418559425,0.02807619501181758,0.8553880956429876,0.8045785980549827
CoRoT-35 b,CoRoT-35,18.83108758,0.2546422183735807,0.0,1747.0,0.0429,6390.0,1.01,6.1,0.214588702093503,0.059787626308785834,0.00047623592747924345,1.5552144821681552e-23,1.0,0.9354397390355813
CoRoT-36 b,CoRoT-36,15.80466279,0.2231435513142097,0.0,1567.0,0.066,6730.0,1.32,2.1,0.20986464896284945,0.05916857838739717,0.0023057548312165237,8.074205920524844e-16,1.0,0.8857920781945614
CoRoT-4 b,CoRoT-4,13.34,0.421994410059375,0.0,1074.0,0.09,6190.0,1.16,1.0,0.21670941220908602,0.0724536991943746,0.06146574165978152,1.815014072147893e-10,1.0,0.7598418203980926
CoRoT-5 b,CoRoT-5,15.558,0.1963888140053901,0.09,1438.0,0.04947,6100.0,1.0,6.9,0.20407626722138864,0.06299588493135613,0.006304129995283434,2.522185472966138e-15,0.835270211411272,0.9692465385546543
CoRoT-6 b,CoRoT-6,13.068,1.199964782928397,0.1,1017.0,0.0855,6090.0,1.05,2.5,0.22574188987203897,0.07566206257006292,0.08145865561170262,2.4402333338116306e-09,0.8187307530779818,0.9702242827374643
CoRoT-7 b,CoRoT-7,1.68135,2.3374694948475474,0.0,1756.0,0.017016,5275.0,0.8200000000000001,1.8,0.40238429888524174,0.05860954689536044,0.00043778820902953705,0.9310449431757942,1.0,0.9555252178444933
CoRoT-7 c,CoRoT-7,2.83,1.1118575154181305,0.0,1097.4,0.046,5256.0,0.899,1.8,0.2797324442769834,0.06985979254112061,0.054434062043443254,0.23099362438884263,1.0,0.9547427649896185
CoRoT-7 d,CoRoT-7,4.31,0.7793248768009976,0.0834999999999999,837.4,0.102,5250.0,0.915,1.8,0.2781352344102713,0.09653100722478374,0.17323344854668762,0.10486386970724784,0.8461996113371885,0.9544828466975666
CoRoT-8 b,CoRoT-8,6.39,0.9555114450274363,0.0,870.0,0.063,5080.0,0.8800000000000001,3.0,0.273370228931211,0.08117977208783217,0.15333958526055078,0.04080038627900626,1.0,0.9846233512953078
CoRoT-9 b,CoRoT-9,11.948794,0.6205764877251099,0.133,420.0,0.4021,5625.0,0.96,6.0,0.41755847935926493,0.3607089603883906,0.4592202642161213,6.230190606561369e-08,0.7664391275010192,0.9986135195881476
DMPP-1 b,DMPP-1,5.29,0.6423800635062922,0.083,877.0,0.1462,6196.0,1.21,2.01,0.2578035136453614,0.08163555068901622,0.14924594734283284,0.05648607985564189,0.8470462341893996,0.9591774467842915
DMPP-1 c,DMPP-1,3.06,1.043804052173115,0.057,1239.0,0.0733,6196.0,1.21,2.01,0.2519197457034396,0.06593825720512855,0.024259495273677,0.18816470798277685,0.8922579558824083,0.9591774467842915
DMPP-1 d,DMPP-1,1.65,1.62924053973028,0.07,1632.0,0.0422,6196.0,1.21,2.01,0.3668601984776924,0.060036958022330895,0.0013353654148973025,0.8132992679892124,0.8693582353988059,0.9591774467842915
DMPP-1 e,DMPP-1,1.86,1.5107219394949427,0.07,1314.0,0.0651,6196.0,1.21,2.01,0.3458093909171368,0.06433811315728136,0.01502897453293373,0.6834011973027256,0.8693582353988059,0.9591774467842915
DMPP-2 b,DMPP-2,14.3,0.2319050569827825,0.078,1000.0,0.0664,6500.0,1.44,2.0,0.22355329523574974,0.06830226611597603,0.08824834776444226,1.366863754136712e-12,0.8555591903710185,0.9202949611667233
DMPP-3 A b,DMPP-3 A,1.41,1.801709800081223,0.14,854.0,0.0662,5138.0,0.87,10.9,0.4140197313721349,0.07880829520927646,0.16293559066531982,0.9530296402300985,0.7557837414557255,0.7951862819096591
DMPP-4 b,DMPP-4,3.53,0.924258901523332,0.063,1567.6,0.04853,6400.0,1.25,2.15,0.23131395373985564,0.05987529508117483,0.002294435797505826,0.14105849188637745,0.8816148467834161,0.9341080845645089
DS Tuc A b,DS Tuc A,5.7,1.269760544863939,0.0,850.0,0.102,5428.0,1.01,0.045,0.25748818022627046,0.08812480218268141,0.1653856423869074,0.12222071166857146,1.0,0.6085394653189078
EPIC 201170410.02,EPIC 201170410,1.047,1.873339456220478,0.0,592.2,0.0349,3648.0,0.287,4.779999999999999,0.5231950167613272,0.18066867808369944,0.3504729746695639,0.9683860234224104,1.0,0.7866553108015926
EPIC 201238110 b,EPIC 201238110,1.87,1.5040773967762742,0.09866,388.3,0.102,3587.0,0.41,3.68,0.5534287168616654,0.400136041680363,0.47299287131948187,0.676516446552253,0.8209278943504739,0.7773680569816994
EPIC 201427007 b,EPIC 201427007,1.5,1.7334238922150915,0.04,1478.5,0.102,5633.0,0.9300000000000002,7.784999999999999,0.40326470231561995,0.08392491654407541,0.00464890783199559,0.9028702342543542,0.9231163463866358,0.9984307307766018
EPIC 201497682 b,EPIC 201497682,0.692,1.6695918352538477,0.0186,807.2,0.102,4991.0,0.78,6.106,0.43943258193432916,0.1437722356128073,0.19281245359437219,0.7339937311531073,0.9634834193942216,0.9776209790120991
EPIC 201595106 b,EPIC 201595106,1.565,2.4932054526026954,0.0,2038.0,0.0177,5679.0,0.958,6.0,0.41287100140400707,0.05732524726257585,2.4232876697617857e-05,0.9654245199138598,1.0,0.9971620266015913
EPIC 201615463 c,K2-166,1.22,1.9444805562457188,0.0,1337.42,0.102,5960.0,1.073,5.574,0.4247578504593861,0.0686683485242545,0.012848856218834987,0.9967453329291855,1.0,0.9816264783535111
EPIC 201754305 d,K2-16,1.03,1.860974538249528,0.010432,1029.1,0.102,4761.0,0.67,8.218000000000002,0.45254319028937134,0.1429655711120503,0.07686201622069277,0.9568963050991373,0.9793521474048685,0.9397526058466625
EPIC 201757695.02,EPIC 201757695,0.90819,1.80005827204275,0.0,1011.98,0.0296,4520.0,0.727,5.707999999999999,0.41283104900516365,0.06431614810727765,0.08342304558660542,0.8857601813024576,1.0,0.9231259951047355
EPIC 201833600 c,K2-50,1.0,1.8468787684491343,0.017,784.7900000000001,0.102,4326.0,0.611,6.098,0.48277291565774166,0.16151710542971442,0.2079902254586163,0.9407005411365956,0.9665715046375066,0.8944711370161771
EPIC 201841433 b,EPIC 201841433,1.04,1.867176108512809,0.0209999999999999,898.82,0.035,5053.0,0.8019999999999999,4.298499999999999,0.4463344376607139,0.07242851113976331,0.13690434868083654,0.9630430998125803,0.9588697805724847,0.9826277357182305
EPIC 205950854 c,K2-168,1.31,1.8794650496471603,0.0,960.6,0.102,5502.7,0.877,4.129,0.4578684396842733,0.09000689085908592,0.10550518497829858,0.9999489821948302,1.0,0.999999352000525
EPIC 206024342 b,EPIC 206024342,1.7,1.599387576580599,0.0046,893.8,0.102,5724.0,0.9280000000000002,1.6800000000000004,0.4151688635901333,0.0896629295523475,0.13968691521547213,0.7831221097360619,0.9908421905166154,0.9315646844406968
EPIC 206024342 c,EPIC 206024342,1.4,1.8066480817218056,0.039,1605.6,0.102,5724.0,0.9280000000000002,6.723000000000001,0.4152153006415211,0.0896629295523475,0.0016723535964304032,0.9568113790033415,0.9249644265435393,0.9955646844406967
EPIC 206024342 d,EPIC 206024342,2.6,1.184789984909162,0.0649,871.6,0.102,5724.0,0.9280000000000002,7.37,0.31588937602649725,0.0896629295523475,0.15239822152823126,0.29512110050032797,0.8782710675698249,0.9955646844406967
EPIC 206032309 b,EPIC 206032309,1.01,1.854734268389444,0.0551,612.1800000000001,0.102,3489.0,0.221,3.361,0.6428070329855492,0.5813096387750204,0.33560277628904306,0.947992100011488,0.8956549863849572,0.7628404670123796
EPIC 206042996 b,EPIC 206042996,1.7,1.599387576580599,0.0,569.6,0.102,4114.0,0.565,4.063,0.4986091182380867,0.18324956616140087,0.36698353137943146,0.7831221097360619,1.0,0.8610146528952616
EPIC 206042996 c,EPIC 206042996,1.2,1.9387416595767009,0.114032,1207.4699999999998,0.102,4114.0,0.565,4.246,0.4361707610870666,0.18324956616140087,0.029359345407406093,0.994923901689367,0.796073309513252,0.8610146528952616
EPIC 206215704 b,EPIC 206215704,1.0,1.8468787684491343,0.048586,453.69,0.102,3297.0,0.407,3.742,0.7939223618843305,0.9455589180985784,0.4419692173331056,0.9407005411365956,0.9073999199240166,0.7360433599683089
EPIC 206317286 b,EPIC 206317286,0.96,1.827769906751088,0.008,1161.79,0.102,4752.0,0.7109999999999999,8.443999999999999,0.4265956531877481,0.12182449533248342,0.03828354897027845,0.9180503738579002,0.9841273200552851,0.9236338580170071
EPIC 206317286 c,EPIC 206317286,2.094,1.3887912413184778,0.01,597.7,0.102,4752.0,0.8319999999999999,4.3906,0.4297655063920039,0.12182449533248342,0.3464012610659224,0.5359168231338894,0.9801986733067553,0.953233858017007
EPIC 211822797 b,EPIC 211822797,1.92,1.4770487243883548,0.06,431.0,0.1195,4057.0,0.62,0.79,0.4907128957457007,0.28192593356661166,0.4538687677434148,0.644484391352437,0.8869204367171575,0.6098270511932977
EPIC 211945201 b,EPIC 211945201,5.76,0.2851789422336624,0.0,817.0,0.1493,6069.0,1.17,3.99,0.27491299895097526,0.08027083700273221,0.18634421811450103,0.015044693626279538,1.0,0.9722321274613781
EPIC 212297394 b,EPIC 212297394,1.48,1.7457155307266483,0.0284,1149.0,0.102,5171.0,0.83,5.353,0.42477222473443094,0.10962166595744649,0.04114060534653383,0.9129592628998057,0.9447830070735376,0.990493370253763
EPIC 212297394 c,EPIC 212297394,2.27,1.3110318766193438,0.026,866.0,0.102,5171.0,0.83,5.63,0.35874539487479373,0.10962166595744649,0.15570761307257208,0.43734342405939575,0.9493288668428895,0.990493370253763
EPIC 212424622 b,EPIC 212424622,2.17,1.355835153635182,0.0,791.1,0.102,5782.33,1.106,4.816,0.3751550411505268,0.0756568337254852,0.20366430346857026,0.4923068522825701,1.0,0.9929770302295036
EPIC 212499991 b,EPIC 212499991,1.6,1.66392609771817,0.0,531.866,0.102,4982.79,0.912,3.336,0.5042612433408161,0.11226944670086664,0.3934924594129546,0.8445117934051982,1.0,0.9769146346123443
EPIC 212587672 b,EPIC 212587672,1.26,1.9242486522741336,0.0,756.0,0.102,6004.0,0.99,4.324,0.4828383703139167,0.08041842090127711,0.2282017197203601,0.9991843394958797,1.0,0.978046251692037
EPIC 212587672 c,EPIC 212587672,2.32,1.2919836816486496,0.0,658.0,0.102,6004.0,0.99,4.443,0.3837007417280966,0.08041842090127711,0.30099088244876016,0.41250974315627936,1.0,0.978046251692037
EPIC 212624936 b,EPIC 212624936,1.2,1.9387416595767009,0.0073999999999999,1637.8,0.102,5765.0,1.0,1.8541,0.42486609561439864,0.08734354562556702,0.0012702117240451407,0.994923901689367,0.9853089816945358,0.964626232071119
EPIC 212624936 c,EPIC 212624936,2.3,1.297463147413275,0.0,764.1,0.102,5765.0,1.0,1.3140000000000005,0.35616175061531574,0.08734354562556702,0.22244098204203094,0.4216032046437381,1.0,0.856606232071119
EPIC 212737443 b,EPIC 212737443,2.586,1.1908875647772803,0.2,536.0,0.098,4684.0,0.69,7.963100000000002,0.3670709136797333,0.1366165573972997,0.39066678072312283,0.3002903513958105,0.6703200460356393,0.9449834852717172
EPIC 212737443 c,EPIC 212737443,2.69,1.1537315878891892,0.2,316.0,0.28,4684.0,0.69,5.736,0.5730524646514557,0.48937259280058515,0.7477376296793222,0.266536483103423,0.6703200460356393,0.9449834852717172
EPIC 220492298 b,EPIC 220492298,0.99,1.8421356765531216,0.0073999999999999,1610.2,0.102,5620.0,0.95,3.651,0.4146259293028125,0.08226032085278935,0.001608554739352966,0.9351478778416156,0.9853089816945358,0.9987220458172132
EPIC 220554210 c,K2-282,1.6,1.66392609771817,0.1294,1246.09,0.102,5499.0,0.94,7.297,0.3841324363145808,0.09207757583926127,0.023220778680429745,0.8445117934051982,0.7719774030858019,0.9999999111111211
EPIC 220674823 b,EPIC 220674823,1.676,2.3115448343655176,0.0,2299.0,0.01314,5578.0,0.913,7.5,0.4062534008772771,0.05640291012517139,1.0685615277401468e-06,0.9328307932573754,1.0,0.9994595654161007
EPIC 220674823 c,EPIC 220674823,2.84,1.000631880307906,0.17,804.0,0.1073,5578.0,0.913,7.5,0.29122798648551396,0.08931430132613048,0.19494743798268452,0.20054066353913058,0.7117703227626097,0.9994595654161007
