pl_name,hostname,pl_rade,pl_dens,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_mass,st_age,LSS
Kepler-695 b,Kepler-695,9.21,0.3632532592988549,0.0,1021.0,0.0374,5181.0,0.8400000000000001,4.47,0.24160972875653958
Kepler-696 b,Kepler-696,6.14,0.5556077665378838,0.0,1234.0,0.0535,5903.0,1.06,3.98,0.2322185552876743
Kepler-697 b,Kepler-697,4.13,0.8109302162163288,0.0,1151.0,0.0471,5513.0,0.9200000000000002,4.37,0.2556546555157897
Kepler-698 b,Kepler-698,3.68,0.8919980393051105,0.0,727.0,0.1255,5612.0,0.94,4.27,0.31481741740575253
Kepler-7 b,Kepler-7,18.180998,0.1310282624064041,0.0,1630.0,0.06067,5933.0,1.359,2.9,0.21953656985172082
Kepler-700 b,Kepler-700,5.99,0.5692831933375594,0.0,452.0,0.3576999999999999,5692.0,0.98,4.37,0.37185731010558626
Kepler-701 b,Kepler-701,2.84,1.1085626195212777,0.0,777.0,0.0894999999999999,5343.0,0.8800000000000001,4.47,0.33011317669565066
Kepler-702 b,Kepler-702,9.17,0.3646431135879092,0.0,713.0,0.0879999999999999,5419.0,0.9,4.47,0.2939678674376133
Kepler-703 b,Kepler-703,8.2,0.4114471797857119,0.0,1038.0,0.0535,6185.0,1.18,2.69,0.23758331387994508
Kepler-704 b,Kepler-704,2.61,1.181727195378616,0.0,1121.0,0.047,5616.0,0.97,5.13,0.29277455102191874
Kepler-705 b,Kepler-705,2.11,1.3812818192963463,0.0,265.0,0.232,3722.0,0.53,3.89,0.8667759678283877
Kepler-707 b,Kepler-707,1.33,1.8625285401162623,0.0,1160.0,0.0325,5099.0,0.8,4.9,0.4307020521305191
Kepler-708 b,Kepler-708,2.93,1.0818051703517284,0.0,1221.0,0.0426,5692.0,0.97,4.37,0.27058572288066246
Kepler-709 b,Kepler-709,2.92,1.0818051703517284,0.0,613.0,0.1173,5071.0,0.8,4.9,0.36740487207144995
Kepler-710 b,Kepler-710,1.88,1.4973884086254774,0.0,1174.0,0.0524,5611.0,0.94,4.17,0.36463638574253526
Kepler-711 b,Kepler-711,3.41,0.9516578757114464,0.0,487.0,0.1429,5222.0,0.8400000000000001,4.37,0.386595617160774
Kepler-712 b,Kepler-712,3.41,0.9516578757114464,0.0,521.0,0.13615,5148.0,0.8400000000000001,3.31,0.37776590196443627
Kepler-712 c,Kepler-712,4.85,0.6981347220709844,0.0,236.0,0.66479,5148.0,0.8400000000000001,3.31,0.7944155685474654
Kepler-713 b,Kepler-713,2.48,1.229640551074514,0.0,905.0,0.0748,5785.0,0.98,3.8,0.3255748832500709
Kepler-714 b,Kepler-714,9.67,0.3442986728706769,0.0,986.0,0.0832,5995.0,1.09,3.55,0.24432537566011903
Kepler-715 b,Kepler-715,3.75,0.8796267475025636,0.0,876.0,0.0933,5871.0,1.04,3.98,0.2879012112988141
Kepler-716 b,Kepler-716,2.9,1.0885619528146082,0.0,720.0,0.0862799999999999,5099.0,0.83,4.57,0.3407054119483356
Kepler-716 c,Kepler-716,1.39281536,1.8115620965242347,0.0,992.0,0.04548,5012.0,0.83,2.75,0.4391690195554495
Kepler-717 b,Kepler-717,2.42,1.252762968495368,0.0,1139.0,0.052,5485.0,0.8800000000000001,4.37,0.30475856748577834
Kepler-718 b,Kepler-718,16.56,1.269760544863939,0.0,1497.0,0.0322,6191.0,1.18,2.57,0.2178455728008103
Kepler-719 b,Kepler-719,8.52,0.3947411447451887,0.0,998.0,0.0556,5777.0,0.99,3.98,0.24307025916966407
Kepler-720 b,Kepler-720,8.41,0.4007875185570532,0.0,1162.0,0.0539,5618.0,0.95,3.63,0.23275292179795587
Kepler-721 b,Kepler-721,2.64,1.172482137234565,0.0,850.0,0.0583,5075.0,0.8200000000000001,4.9,0.323342225966281
Kepler-722 b,Kepler-722,2.63,1.175573329804238,0.0,1182.0,0.0514,5863.0,1.03,4.37,0.2878534311993782
Kepler-722 c,Kepler-722,2.82,1.11514159061932,0.0,401.0,0.4470999999999999,5863.0,1.03,4.37,0.46616923229320495
Kepler-723 b,Kepler-723,12.19,1.269760544863939,0.0,1016.0,0.0479,5539.0,0.9200000000000002,4.57,0.2442996847366785
Kepler-724 b,Kepler-724,3.29,0.982078472412158,0.0,1155.0,0.0433,5437.0,0.9,4.37,0.26558434802433933
Kepler-725 b,Kepler-725,10.8,0.3045391895182038,0.231,514.0,0.2237999999999999,5395.0,0.95,1.6,0.32166107478134026
Kepler-725 c,Kepler-725,3.08,1.0367368849500225,0.436,268.0,0.6743999999999999,5395.0,0.95,1.6,0.7034777198907057
Kepler-726 b,Kepler-726,3.26,0.9932517730102834,0.0,543.0,0.1406,5452.0,0.8800000000000001,4.47,0.37206845873128075
Kepler-727 b,Kepler-727,2.53,1.208960345836975,0.0,964.0,0.0546,5441.0,0.89,4.79,0.3159608940070625
Kepler-728 b,Kepler-728,3.34,0.9707789171582246,0.0,982.0,0.0625,5660.0,0.95,4.07,0.2777530193208041
Kepler-729 b,Kepler-729,3.58,0.9162907318741552,0.0,1273.0,0.0432,5633.0,0.94,4.27,0.2537353592366973
Kepler-730 b,Kepler-730,12.3299,1.269760544863939,0.0,1219.0,0.0694,5620.0,1.0469999999999997,9.5,0.22001612038308635
Kepler-730 c,Kepler-730,1.56926,1.6845453849209058,0.0,1607.0,0.03997,5620.0,1.0469999999999997,9.5,0.38395636011129997
Kepler-731 b,Kepler-731,13.88,1.269760544863939,0.0,1212.0,0.0505,5849.0,1.03,3.8,0.2289314324547648
