pl_name,hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_age,st_ageerr1,st_ageerr2,st_agelim
24 Sex c,24 Sex,883.0,32.4,-13.8,0.0,2.08,0.05,-0.02,0.0,13.9,,,0.0,273.32,111.24,-69.92,0.0,0.559,,,0.0,0.29,0.16,-0.09,0.0,,,,,,,,,5098.0,44.0,-44.0,0.0,4.9,0.08,-0.08,0.0,1.54,0.08,-0.08,0.0,1.164,0.003,-0.003,0.0,2.7,0.4,-0.4,0.0
2M0437 b,2MASS J04372171+2651014,,,,,118.0,1.3,-1.3,0.0,13.0,,,0.0,1271.313628,317.828407,-317.828407,0.0,3.18,,,0.0,,,,,,,,,1450.0,50.0,-50.0,0.0,3100.0,100.0,-100.0,0.0,0.84,0.11,-0.11,0.0,0.17,0.01,-0.02,0.0,-1.16368,0.00315,-0.00318,0.0,0.0025,0.0004,-0.0004,0.0
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,,,,,84.0,,,0.0,12.3,,,0.0,4131.79,317.83,-317.83,0.0,12.2,,,0.0,,,,,,,,,,,,,,,,,,,,,0.19,0.02,-0.02,0.0,,,,,0.03,,,0.0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,,,,,52.0,6.0,-6.0,0.0,11.209,,,0.0,7786.5,794.5,-794.5,0.0,30.4,,,0.0,,,,,,,,,1600.0,100.0,-100.0,0.0,3530.0,50.0,-50.0,0.0,0.36645,0.011155,-0.011155,0.0,0.4,0.05,-0.05,0.0,-1.72,0.11,-0.11,0.0,0.12,0.01,-0.01,0.0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,,,,,156.0,10.0,-10.0,0.0,16.14096,0.33627,-0.33627,0.0,4417.837,349.613,-349.613,0.0,5.77,,,0.0,,,,,,,,,,,,,3064.0,76.0,-76.0,0.0,0.281,0.013,-0.013,0.0,0.108,0.011,-0.011,0.0,-2.23,0.06,-0.06,0.0,0.035,0.005,-0.005,0.0
2MASS J0249-0557 c,2MASS J0249-0557 A,,,,,1950.0,200.0,-200.0,0.0,12.4,,,0.0,3686.8095212,413.1769291,-317.828407,0.0,10.6,,,0.0,,,,,,,,,,,,,2859.0,157.0,-157.0,0.0,0.315959,0.009624,-0.009624,0.0,0.046,0.012,-0.011,0.0,-2.59,0.09,-0.09,0.0,0.022,0.006,-0.006,0.0
2MASS J03590986+2009361 b,2MASS J03590986+2009361,,,,,572.0,7.0,-7.0,0.0,12.2,,,0.0,5720.911326,317.828407,-317.828407,0.0,17.3,,,0.0,,,,,,,,,2369.0,21.0,-5.0,0.0,2943.0,157.0,-157.0,0.0,0.289776,0.01007,-0.01007,0.0,0.264996,0.020979,-0.020979,0.0,-2.24602,0.10888,-0.14566,0.0,,,,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,,,,,15.0,,,0.0,12.6,,,0.0,2383.6,794.5,-794.5,0.0,6.55,,,0.0,,,,,,,,,,,,,2936.0,182.0,-182.0,0.0,0.231916,0.011553,-0.011553,0.0,0.019,,,0.0,-2.44363,0.13081,-0.18807,0.0,0.001,,,0.0
2MASS J11011926-7732383 b,2MASS J11011926-7732383,,,,,266.0,8.0,-8.0,0.0,11.9,,,0.0,8899.195396,3178.28407,-2224.798849,0.0,29.0,,,0.0,,,,,,,,,2677.0,78.0,-76.0,0.0,,,,,,,,,,,,,,,,,,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,,,,,587.0,2.0,-2.0,0.0,12.1,,,0.0,6356.56814,317.828407,-317.828407,0.0,19.7,,,0.0,,,,,,,,,2506.0,2.0,-2.0,0.0,3021.0,157.0,-157.0,0.0,0.600455,0.017923,-0.017923,0.0,0.58846,0.020331,-0.020331,0.0,-1.56774,0.10356,-0.13626,0.0,,,,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,,,,,55.0,,,0.0,12.9,,,0.0,1589.15,635.66,-635.66,0.0,4.07,,,0.0,,,,,,,,,1250.0,200.0,-200.0,0.0,2825.0,157.0,-157.0,0.0,0.21887,0.006976,-0.006976,0.0,0.024,,,0.0,-2.56086,0.10996,-0.1476,0.0,0.008,0.004,-0.003,0.0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,406.0,4.0,-4.0,0.0,0.92,0.02,-0.02,0.0,13.4,,,0.0,603.877,31.783,-31.783,0.0,1.38,,,0.0,0.33,0.05,-0.05,0.0,,,,,,,,,29564.0,,,0.0,0.203,0.001,-0.001,0.0,0.48,,,0.0,1.45,,,0.0,,,,
2MASS J21252752-8138278 b,2MASS J21252752-8138278,,,,,7493.0,11.0,-11.0,0.0,12.4,,,0.0,3813.940884,317.828407,-317.828407,0.0,11.0,,,0.0,,,,,,,,,1616.0,32.0,-3.0,0.0,3592.0,157.0,-157.0,0.0,0.672832,0.020973,-0.020973,0.0,0.643977,0.020802,-0.020802,0.0,-1.16815,0.09286,-0.11827,0.0,,,,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,,,,,230.0,20.0,-20.0,0.0,12.3,,,0.0,3972.875,476.745,-476.745,0.0,11.7,,,0.0,,,,,,,,,,,,,4045.0,35.0,-35.0,0.0,0.641152,0.060021,-0.062602,0.0,0.6,0.05,-0.05,0.0,-1.02143,0.00156,-0.00157,0.0,0.12,0.01,-0.01,0.0
2MASS J22501512+2325342 b,2MASS J22501512+2325342,,,,,518.0,40.0,-40.0,0.0,11.9,,,0.0,9534.85221,3496.112477,-1271.313628,0.0,31.1,,,0.0,,,,,,,,,1600.0,200.0,-200.0,0.0,3352.0,157.0,-157.0,0.0,0.437589,0.012922,-0.012922,0.0,0.433173,0.020207,-0.020207,0.0,-1.66196,0.09613,-0.12365,0.0,0.15,,,0.0
4 UMa b,4 UMa,270.27,0.24,-0.09,0.0,0.877,0.001,0.0,0.0,12.6,,,0.0,2511.48007211,63.24785299,-120.13913785,0.0,6.9,,,0.0,0.453,0.021,-0.036,0.0,,,,,,,,,4415.0,70.0,-70.0,0.0,18.11,1.47,-1.47,0.0,1.234,0.15,-0.15,0.0,2.06236,0.00794,-0.00809,0.0,4.604,2.0,-2.0,0.0
47 UMa b,47 UMa,1078.0,2.0,-2.0,0.0,2.1,0.02,-0.02,0.0,13.2,,,0.0,804.08,22.25,-19.07,0.0,1.92,,,0.0,0.032,0.014,-0.014,0.0,,,,,,,,,5872.0,92.94,-113.53,0.0,1.21334,0.038883,-0.058353,0.0,1.06,0.128402,-0.137608,0.0,0.1978,0.01239,-0.01118,0.0,6.48,1.44,-1.04,0.0
47 UMa c,47 UMa,2391.0,100.0,-87.0,0.0,3.6,0.1,-0.1,0.0,14.2,,,0.0,171.621,20.976,-23.201,0.0,0.329,,,0.0,0.098,0.047,-0.096,0.0,,,,,,,,,5872.0,92.94,-113.53,0.0,1.21334,0.038883,-0.058353,0.0,1.06,0.128402,-0.137608,0.0,0.1978,0.01239,-0.01118,0.0,6.48,1.44,-1.04,0.0
47 UMa d,47 UMa,14002.0,4018.0,-5095.0,0.0,11.6,2.1,-2.9,0.0,13.5,,,0.0,521.22,92.17,-152.55,0.0,1.16,,,0.0,0.16,0.09,-0.16,0.0,,,,,,,,,5872.0,92.94,-113.53,0.0,1.21334,0.038883,-0.058353,0.0,1.06,0.128402,-0.137608,0.0,0.1978,0.01239,-0.01118,0.0,6.48,1.44,-1.04,0.0
51 Eri b,51 Eri,9100.0,1100.0,-1500.0,0.0,10.4,0.8,-1.1,0.0,,,,,3464.3296363,,,1.0,,,,,0.57,0.08,-0.06,0.0,,,,,807.0,45.0,-45.0,0.0,7422.0,58.0,-58.0,0.0,1.45,0.02,-0.02,0.0,1.75,0.05,-0.05,0.0,0.7574,0.00723,-0.00735,0.0,0.0232,0.0017,-0.002,0.0
51 Peg b,51 Peg,4.230785,3.6e-05,-3.6e-05,0.0,0.0527,0.003,-0.003,0.0,14.3,,,0.0,146.2018,19.0698,-3.1783,0.0,0.275,,,0.0,0.013,0.012,-0.012,0.0,,,,,,,,,5758.0,101.62,-119.62,0.0,1.17561,0.067361,-0.035328,0.0,1.03,0.166699,-0.085418,0.0,0.13631,0.00742,-0.01525,0.0,10.0,,,0.0
55 Cnc B b,55 Cnc B,6.7994,0.0013,-0.0014,0.0,0.044,0.0012,-0.0012,0.0,1.69,,,0.0,3.5,0.8,-0.8,0.0,3.98,,,0.0,0.0,,,0.0,,,,,,,,,3286.0,31.0,-31.0,0.0,0.274,0.066,-0.066,0.0,0.26,0.02,-0.02,0.0,-2.10811,0.10004,-0.13021,0.0,10.0,,,-1.0
55 Cnc B c,55 Cnc B,33.747,0.035,-0.035,0.0,0.13,0.003,-0.003,0.0,2.16,,,0.0,5.3,1.4,-1.4,0.0,2.89,,,0.0,0.0,,,0.0,,,,,,,,,3286.0,31.0,-31.0,0.0,0.274,0.066,-0.066,0.0,0.26,0.02,-0.02,0.0,-2.10811,0.10004,-0.13021,0.0,10.0,,,-1.0
55 Cnc b,55 Cnc,14.651552,3.6e-05,-3.6e-05,0.0,0.118,0.002,-0.002,0.0,13.9,,,0.0,263.9785,1.0488,-1.0488,0.0,0.54,,,0.0,0.0029,0.0027,-0.002,0.0,,,,,700.0,,,0.0,5198.0,31.0,-31.0,0.0,0.98,0.016,-0.016,0.0,1.015,0.051,-0.051,0.0,-0.19695,0.0125,-0.01039,0.0,10.0,,,-1.0
55 Cnc c,55 Cnc,44.3936,0.0024,-0.0024,0.0,0.247,0.004,-0.004,0.0,8.51,,,0.0,54.4738,1.748,-1.748,0.0,0.486,,,0.0,0.088,0.23,-0.23,0.0,,,,,,,,,5198.0,31.0,-31.0,0.0,0.98,0.016,-0.016,0.0,1.015,0.051,-0.051,0.0,-0.19695,0.0125,-0.01039,0.0,10.0,,,-1.0
55 Cnc d,55 Cnc,4799.0,4.9,-15.0,0.0,5.6,0.1,-0.1,0.0,13.0,,,0.0,1232.493,21.612,-21.612,0.0,3.08,,,0.0,0.0913,0.0067,-0.0067,0.0,,,,,,,,,5198.0,31.0,-31.0,0.0,0.98,0.016,-0.016,0.0,1.015,0.051,-0.051,0.0,-0.19695,0.0125,-0.01039,0.0,10.0,,,-1.0
55 Cnc e,55 Cnc,0.7365474,1.3e-06,-1.4e-06,0.0,0.01544,5e-05,-5e-05,0.0,1.875,0.029,-0.029,0.0,7.99,0.32,-0.33,0.0,6.66,0.43,-0.4,0.0,0.05,0.03,-0.03,0.0,2657.8322,,,0.0,1958.0,15.0,-15.0,0.0,5172.0,18.0,-18.0,0.0,0.943,0.01,-0.01,0.0,0.905,0.015,-0.015,0.0,-0.19695,0.0125,-0.01039,0.0,5.5,2.5,-2.5,0.0
55 Cnc f,55 Cnc,260.58,0.15,-0.15,0.0,0.802,0.014,-0.014,0.0,7.59,,,0.0,44.812,3.814,-3.814,0.0,0.563,,,0.0,0.063,0.048,-0.043,0.0,,,,,,,,,5198.0,31.0,-31.0,0.0,0.98,0.016,-0.016,0.0,1.015,0.051,-0.051,0.0,-0.19695,0.0125,-0.01039,0.0,10.0,,,-1.0
6 Lyn b,6 Lyn,919.86,1.92,-3.71,0.0,2.028,0.003,-0.005,0.0,13.4,,,0.0,597.83523357,12.07747947,-28.28672822,0.0,1.37,,,0.0,0.042,0.024,-0.032,0.0,,,,,,,,,4941.0,,,0.0,4.94,0.55,-0.5,0.0,1.32,0.2,-0.21,0.0,1.1186,0.09545,-0.09823,0.0,2.353,0.211,-0.211,0.0
61 Vir b,61 Vir,4.215,0.0006,-0.0006,0.0,0.050201,5e-06,-5e-06,0.0,2.11,,,0.0,5.1,0.5,-0.5,0.0,2.98,,,0.0,0.12,0.11,-0.11,0.0,,,,,,,,,5577.0,33.0,-33.0,0.0,0.963,0.011,-0.011,0.0,0.942,0.034,-0.029,0.0,-0.095,0.003,-0.003,0.0,8.96,2.76,-3.08,0.0
61 Vir c,61 Vir,38.021,0.034,-0.034,0.0,0.2175,0.0001,-0.0001,0.0,4.46,,,0.0,18.2,1.1,-1.1,0.0,1.13,,,0.0,0.14,0.06,-0.06,0.0,,,,,,,,,5577.0,33.0,-33.0,0.0,0.963,0.011,-0.011,0.0,0.942,0.034,-0.029,0.0,-0.095,0.003,-0.003,0.0,8.96,2.76,-3.08,0.0
61 Vir d,61 Vir,123.01,0.55,-0.55,0.0,0.476,0.001,-0.001,0.0,5.11,,,0.0,22.9,2.6,-2.6,0.0,0.943,,,0.0,0.35,0.09,-0.09,0.0,,,,,,,,,5577.0,33.0,-33.0,0.0,0.963,0.011,-0.011,0.0,0.942,0.034,-0.029,0.0,-0.095,0.003,-0.003,0.0,8.96,2.76,-3.08,0.0
7 CMa b,7 CMa,735.1,14.8,-1.0,0.0,1.758,0.024,-0.001,0.0,13.4,,,0.0,587.9855,19.0698,-19.0698,0.0,1.34,,,0.0,0.06,0.03,-0.03,0.0,,,,,,,,,4826.0,45.0,-55.0,0.0,4.87,0.17,-0.14,0.0,1.34,0.11,-0.12,0.0,1.06258,0.0115,-0.00759,0.0,4.3,0.9,-1.3,0.0
7 CMa c,7 CMa,996.0,1.5,-52.4,0.0,2.153,0.003,-0.08,0.0,13.9,,,0.0,276.5121,19.0698,-19.0698,0.0,0.566,,,0.0,0.08,0.05,-0.04,0.0,,,,,,,,,4826.0,45.0,-55.0,0.0,4.87,0.17,-0.14,0.0,1.34,0.11,-0.12,0.0,1.06258,0.0115,-0.00759,0.0,4.3,0.9,-1.3,0.0
70 Vir b,70 Vir,116.688,0.0054,-0.0054,0.0,0.481,0.022,-0.022,0.0,12.6,,,0.0,2380.45,193.87,-193.87,0.0,6.54,,,0.0,0.3988,0.0019,-0.0019,0.0,,,,,,,,,5495.0,,,0.0,1.89,,,0.0,1.09,,,0.0,0.4513,0.0094,-0.0096,0.0,7.77,0.51,-0.51,0.0
75 Cet b,75 Cet,696.62,1.33,-1.69,0.0,1.912,0.002,-0.003,0.0,13.3,,,0.0,787.89662095,23.51930212,-28.60455663,0.0,1.84,,,0.0,0.093,0.026,-0.042,0.0,,,,,,,,,4809.0,,,0.0,10.38,0.15,-0.26,0.0,1.92,0.07,-0.08,0.0,1.7145,0.01207,-0.02103,0.0,,,,
75 Cet c,75 Cet,2051.62,45.98,-40.47,0.0,3.929,0.058,-0.052,0.0,13.9,,,0.0,289.85950718,27.96889982,-45.4494622,0.0,0.593,,,0.0,0.023,0.191,-0.003,0.0,,,,,,,,,4809.0,,,0.0,10.38,0.15,-0.26,0.0,1.92,0.07,-0.08,0.0,1.7145,0.01207,-0.02103,0.0,,,,
8 UMi b,8 UMi,93.31,0.06,-0.06,0.0,0.462,0.006,-0.006,0.0,13.5,,,0.0,524.41687155,19.06970442,-19.06970442,0.0,1.17,,,0.0,0.062,0.028,-0.03,0.0,,,,,,,,,4847.0,100.0,-100.0,0.0,10.73,0.14,-0.14,0.0,1.51,0.06,-0.06,0.0,1.72346,0.04592,-0.05136,0.0,1.7,0.2,-0.2,0.0
81 Cet b,81 Cet,1005.57,1.84,-1.94,0.0,2.104,0.003,-0.003,0.0,13.1,,,0.0,1051.05854195,24.79061575,-21.29450327,0.0,2.57,,,0.0,0.037,0.015,-0.025,0.0,,,,,,,,,4734.0,,,0.0,11.21,0.81,-0.35,0.0,1.23,0.3,-0.25,0.0,1.76027,0.05934,-0.04061,0.0,,,,
91 Aqr b,91 Aqr,181.4,0.1,-0.1,0.0,0.7,,,0.0,13.1,,,0.0,1017.0,,,0.0,2.49,,,0.0,0.027,0.026,-0.026,0.0,,,,,,,,,4665.0,18.0,-18.0,0.0,11.0,0.1,-0.1,0.0,1.4,0.1,-0.1,0.0,1.69239,0.00617,-0.00626,0.0,3.56,0.63,-0.63,0.0
AB Aur b,AB Aur,,,,,93.9,49.3,-49.3,0.0,12.5,,,0.0,2860.455663,,,0.0,8.05,,,0.0,0.4,0.2,-0.21,0.0,,,,,,,,,9770.0,100.0,-100.0,0.0,2.95887,0.096638,-0.070698,0.0,2.4,0.2,-0.2,0.0,1.77085,0.03533,-0.03846,0.0,0.003,0.002,-0.002,0.0
AB Pic b,AB Pic,,,,,260.0,,,0.0,12.3,,,0.0,4290.5,158.9,-158.9,0.0,12.7,,,0.0,,,,,,,,,,,,,5285.0,10.0,-9.0,0.0,0.999394,0.029598,-0.022233,0.0,0.9,0.1,-0.1,0.0,-0.22631,0.00115,-0.00116,0.0,0.03,,,0.0
AF Lep b,AF Lep,8905.0,400.0,-150.0,0.0,8.996,0.19,-0.077,0.0,13.0,,,0.0,1147.36054927,155.73591943,-152.55763536,0.0,2.87,,,0.0,0.015,0.029,-0.011,0.0,,,,,1400.0,300.0,-300.0,0.0,6140.0,47.0,-47.0,0.0,1.25,0.06,-0.06,0.0,1.218,0.029,-0.039,0.0,0.29,0.011,-0.011,0.0,0.024,0.003,-0.003,0.0
AT2021ueyL b,AT2021ueyL,4168.69,2910.76,-1713.98,0.0,4.01,1.68,-1.34,0.0,13.6,,,0.0,425.89006538,143.02278315,-158.9142035,0.0,0.93,,,0.0,,,,,,,,,,,,,3680.0,307.0,-204.0,0.0,,,,,0.49,0.16,-0.18,0.0,,,,,,,,
AU Mic b,AU Mic,8.46308,6e-05,-6e-05,0.0,0.0649,0.0012,-0.0012,0.0,3.95677019,0.14571675,-0.14571675,0.0,20.12,1.57,-1.72,0.0,1.32,0.19,-0.2,0.0,0.00577,0.00101,-0.00101,0.0,21.2,2.5,-2.4,0.0,600.0,17.0,-16.0,0.0,3678.0,90.0,-88.0,0.0,0.744,0.023,-0.021,0.0,0.51,0.028,-0.027,0.0,-1.0381,0.04925,-0.04914,0.0,0.0201,0.0025,-0.0024,0.0
AU Mic c,AU Mic,18.85969,8e-05,-8e-05,0.0,0.1108,0.002,-0.002,0.0,2.52202066,0.24659758,-0.24659758,0.0,9.6,2.07,-2.31,0.0,1.22,0.26,-0.29,0.0,0.00338,0.00164,-0.00164,0.0,7.3,0.9,-0.8,0.0,459.0,13.0,-12.0,0.0,3678.0,90.0,-88.0,0.0,0.744,0.023,-0.021,0.0,0.51,0.028,-0.027,0.0,-1.0381,0.04925,-0.04914,0.0,0.0201,0.0025,-0.0024,0.0
AU Mic d,AU Mic,12.73596,0.00793,-0.00793,0.0,,,,,1.02,,,0.0,1.053,0.511,-0.511,0.0,5.45,,,0.0,0.00305,0.00104,-0.00104,0.0,,,,,,,,,3678.0,90.0,-88.0,0.0,0.744,0.023,-0.021,0.0,0.51,0.028,-0.027,0.0,-1.0381,0.04925,-0.04914,0.0,0.0201,0.0025,-0.0024,0.0
AU Mic e,AU Mic,33.11,0.06,-0.06,0.0,,,,,4.87,,,0.0,21.1,5.4,-4.3,0.0,1.0,,,0.0,,,,,,,,,,,,,3665.0,31.0,-31.0,0.0,0.82,0.02,-0.02,0.0,0.6,0.04,-0.04,0.0,-0.99,0.01,-0.01,0.0,0.0185,0.0024,-0.0024,0.0
BD+03 2562 b,BD+03 2562,481.9,2.7,-2.8,0.0,1.3,0.1,-0.1,0.0,12.7,,,0.0,2034.112,413.179,-413.179,0.0,5.46,,,0.0,0.2,0.12,-0.08,0.0,,,,,,,,,4095.0,20.0,-20.0,0.0,32.35,8.82,-8.82,0.0,1.14,0.25,-0.25,0.0,2.7,0.14,-0.14,0.0,5.2,4.75,-2.75,0.0
BD+05 4868 A b,BD+05 4868 A,1.271869,1e-06,-1e-06,0.0,0.0208,0.0003,-0.0003,0.0,,,,,6.2,,,1.0,,,,,,,,,,,,,1820.0,45.0,-45.0,0.0,4596.0,65.0,-64.0,0.0,0.69,0.02,-0.02,0.0,0.7,0.02,-0.02,0.0,-0.7167,0.01116,-0.01146,0.0,11.1,1.7,-3.0,0.0
BD+14 4559 b,BD+14 4559,268.94,0.99,-0.99,0.0,0.78,0.05,-0.05,0.0,13.8,,,0.0,330.5432,149.3801,-149.3801,0.0,0.691,,,0.0,0.29,0.03,-0.03,0.0,,,,,,,,,4864.0,101.0,-101.0,0.0,0.86,0.04,-0.04,0.0,0.49,0.33,-0.33,0.0,-0.32,,,0.0,,,,
BD+15 2375 b,BD+15 2375,153.22,0.44,-0.44,0.0,0.576,0.027,-0.027,0.0,13.8,,,0.0,337.21763,85.8141,-85.8141,0.0,0.705,,,0.0,0.001,0.25,-0.001,0.0,,,,,,,,,4649.0,30.0,-30.0,0.0,8.95,1.45,-1.45,0.0,1.08,0.14,-0.14,0.0,1.57,0.1,-0.1,0.0,7.41,3.81,-2.52,0.0
BD+15 2940 b,BD+15 2940,137.48,0.34,-0.34,0.0,0.539,,,0.0,13.7,,,0.0,352.78,,,0.0,0.754,,,0.0,0.26,0.1,-0.1,0.0,,,,,,,,,4796.0,117.0,-117.0,0.0,14.7,2.8,-2.8,0.0,1.1,0.2,-0.2,0.0,2.01,0.75,-0.75,0.0,7.1,4.2,-4.2,0.0
BD+20 2457 b,BD+20 2457,379.63,2.01,-2.01,0.0,1.45,,,0.0,12.1,,,0.0,6807.63,,,0.0,21.1,,,0.0,0.15,0.03,-0.03,0.0,,,,,,,,,4137.0,10.0,-10.0,0.0,49.0,26.0,-26.0,0.0,2.8,1.5,-1.5,0.0,3.17,,,0.0,,,,
BD+20 2457 c,BD+20 2457,621.99,10.2,-10.2,0.0,2.01,,,0.0,12.4,,,0.0,3963.17,,,0.0,11.4,,,0.0,0.18,0.06,-0.06,0.0,,,,,,,,,4137.0,10.0,-10.0,0.0,49.0,26.0,-26.0,0.0,2.8,1.5,-1.5,0.0,3.17,,,0.0,,,,
BD+20 274 b,BD+20 274,578.2,5.4,-5.4,0.0,1.3,,,0.0,13.0,,,0.0,1334.886,,,0.0,3.34,,,0.0,0.21,0.06,-0.06,0.0,,,,,,,,,4296.0,10.0,-10.0,0.0,17.3,0.9,-0.9,0.0,0.8,0.2,-0.2,0.0,1.96,0.18,-0.18,0.0,,,,
BD+20 594 b,BD+20 594,41.6855,0.003,-0.003,0.0,0.241,0.019,-0.017,0.0,2.57807,0.11209,-0.11209,0.0,22.2481,9.5349,-9.5349,0.0,7.89,3.4,-3.1,0.0,0.0,,,0.0,,,,,546.0,19.0,-18.0,0.0,5766.0,99.0,-99.0,0.0,1.08,0.06,-0.06,0.0,1.67,0.4,-0.4,0.0,-0.05552,0.06835,-0.06367,0.0,3.34,1.95,-1.49,0.0
