pl_name,hostname,pl_rade,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_lum,st_mass,st_age,pl_bmasse,pl_dens,pl_insol,pl_orbper,st_rad
OGLE-2018-BLG-1011L b,OGLE-2018-BLG-1011L,13.5,0.2895479999999999,479.0100000000001,1.8000000000000005,5549.0,-0.07632,0.18,6.486,6.3473892096560105,0.8197798314933114,2.8048884003931,2.4950335327117,0.668536814587228
OGLE-2018-BLG-1011L c,OGLE-2018-BLG-1011L,13.2,0.4640599999999999,419.04,0.8,5549.0,-0.07632,0.18,5.5840000000000005,6.792344427470809,1.1410330045520618,2.7000758257345607,2.4950335327117,0.668536814587228
OGLE-2018-BLG-1119L b,OGLE-2018-BLG-1119L,13.9,0.19206,61.84,4.06,5549.0,-0.07632,0.48,5.7272,5.670652523048195,0.46499108742219125,0.05033195784871537,2.4950335327117,0.668536814587228
OGLE-2018-BLG-1126L b,OGLE-2018-BLG-1126L,4.41,0.2076,352.6,3.23,5549.0,-0.07632,0.69,8.189,2.9337712698957374,0.76080582903376,1.519213049743292,2.4950335327117,0.668536814587228
OGLE-2018-BLG-1185L b,OGLE-2018-BLG-1185L,2.83,0.1031,349.6,1.54,5549.0,-0.07632,0.37,7.890000000000001,2.2407096892759584,1.1118575154181303,1.4153615654293523,2.4950335327117,0.668536814587228
OGLE-2018-BLG-1212L b,OGLE-2018-BLG-1212L,9.32,0.204648,573.8,1.68,5549.0,-0.07632,0.16,6.271,4.167683021948493,0.3583735005743138,3.538349641063548,2.4950335327117,0.668536814587228
OGLE-2018-BLG-1269L b,OGLE-2018-BLG-1269L,14.1,0.2468,627.5319999999999,4.51,5549.0,-0.07632,1.11,4.068899999999999,5.351858133476067,0.3450071390710503,3.5383657336131074,2.4950335327117,0.668536814587228
OGLE-2018-BLG-1367L b,OGLE-2018-BLG-1367L,13.8,0.18196,314.86,1.21,5549.0,-0.07632,0.28,5.2942,5.713524819030195,0.4891933236388768,1.346037237850768,2.4950335327117,0.668536814587228
OGLE-2018-BLG-1428L b,OGLE-2018-BLG-1428L,14.0,0.18666,176.11,3.3,5549.0,-0.07632,0.4299999999999999,5.6107,5.484796933490655,0.3927175352856617,0.1650943164265441,2.4950335327117,0.668536814587228
OGLE-2018-BLG-1647L b,OGLE-2018-BLG-1647L,13.8,0.18196,334.52,1.36,5549.0,-0.07632,0.092,5.8732,5.734290841420239,0.49774038421733524,1.5205762568879515,2.4950335327117,0.668536814587228
OGLE-2018-BLG-1700L b,OGLE-2018-BLG-1700L,12.9,0.562663,196.23,2.8,5549.0,-0.07632,0.4199999999999999,6.938,7.244941546337007,1.5216989981260935,0.20786297702972223,2.4950335327117,0.668536814587228
OGLE-2019-BLG-0249L b,OGLE-2019-BLG-0249L,12.7,0.29754,649.392,1.84,5549.0,-0.07632,0.91,7.114,7.724861167679121,1.9558604799084813,3.648960192238943,2.4950335327117,0.668536814587228
OGLE-2019-BLG-0299L b,OGLE-2019-BLG-0299L,12.7,0.481953,137.43,2.8,5549.0,-0.07632,0.5900000000000001,6.712000000000001,7.5897872597201195,1.840549633397487,0.09071178555239784,2.4950335327117,0.668536814587228
OGLE-2019-BLG-0304L b,OGLE-2019-BLG-0304L,14.2,0.34431,643.966,1.23,5549.0,-0.07632,0.27,3.19,5.094317448296389,0.2707902047815628,3.548255579508408,2.4950335327117,0.668536814587228
OGLE-2019-BLG-0362L b,OGLE-2019-BLG-0362L,13.1,0.540983,358.28,2.18,5549.0,-0.07632,0.4199999999999999,6.878,6.944203505054061,1.2612978709452054,1.6843328604651462,2.4950335327117,0.668536814587228
OGLE-2019-BLG-0468L b,OGLE-2019-BLG-0468L,13.1,0.3595,659.01,3.29,5549.0,-0.07632,0.9200000000000002,7.784999999999999,6.994988780976015,1.297463147413275,3.779863172630977,2.4950335327117,0.668536814587228
OGLE-2019-BLG-0468L c,OGLE-2019-BLG-0468L,12.5,0.42268,719.6,2.77,5549.0,-0.07632,0.9200000000000002,6.590000000000001,8.08616603612751,2.316487998163037,3.835460389266305,2.4950335327117,0.668536814587228
OGLE-2019-BLG-0960L b,OGLE-2019-BLG-0960L,1.39,0.251,300.17999999999995,1.9,5549.0,-0.07632,0.5,9.3445,1.252762968495368,1.8115620965242347,1.0237891831616266,2.4950335327117,0.668536814587228
