pl_name,hostname,pl_rade,pl_dens,pl_orbeccen,pl_eqt,pl_orbsmax,st_teff,st_mass,st_age,LSS
Kepler-757 b,Kepler-757,0.8586616190375187,1.8389610707123487,0.0,7.45876269238096,0.0188217542405877,6014.0,1.08,1.4609379041156565,0.4132985879177829
Kepler-758 b,Kepler-758,1.247032293786383,1.229640551074514,0.0,6.913737350659685,0.1021413396664265,6228.0,1.16,1.5686159179138452,0.30881409833372875
Kepler-758 c,Kepler-758,0.9895411936137476,1.6054298910365616,0.0,7.224753405767971,0.0560778302197041,6228.0,1.16,1.5686159179138452,0.37704685913235025
Kepler-758 d,Kepler-758,1.1378330018213911,1.3762440252663892,0.0,6.738152494595957,0.1421070166248298,6228.0,1.16,1.5686159179138452,0.3681945229149771
Kepler-758 e,Kepler-758,0.9282193027394288,1.7119945007591926,0.0,7.0431599159883405,0.0796426276521966,6228.0,1.16,1.5686159179138452,0.405625589233475
Kepler-759 b,Kepler-759,1.184789984909162,1.3110318766193438,0.0,6.280395838960195,0.20936911789237,5860.0,1.04,1.5871923034867808,0.42965837758609293
Kepler-76 b,Kepler-76,2.7877383844009445,0.7419373447293773,0.0,7.669028288589683,0.0270313390510304,6409.0,1.2,0.4824261492442927,0.18554082672704458
Kepler-760 b,Kepler-760,1.4011829736136412,1.043804052173115,0.0,6.618738983517219,0.0777662724059491,5322.0,0.89,1.717395053939193,0.3256675057268741
Kepler-760 c,Kepler-760,0.9082585601768908,1.7457155307266483,0.0,7.038783541388542,0.0342951408759557,5322.0,0.89,1.717395053939193,0.4160066688233147
Kepler-761 b,Kepler-761,1.1085626195212777,1.420695787837223,0.0,6.643789733147672,0.0837895257296832,5706.0,0.95,1.623340817603092,0.3982000307730985
Kepler-762 b,Kepler-762,2.615934912194404,1.269760544863939,0.0,7.172424577124845,0.0481232751817282,5944.0,1.06,1.5686159179138452,0.2238272132169111
Kepler-763 b,Kepler-763,0.7975071958841881,1.9444805562457188,0.0,7.254884810077338,0.0202927032677624,5166.0,0.8400000000000001,1.7561322915849038,0.42134436605841874
Kepler-763 c,Kepler-763,0.8837675401685949,1.790091412127358,0.0,6.844815479208263,0.0455468149559703,4999.0,0.8,1.1314021114911006,0.4409269537332095
Kepler-763 d,Kepler-763,0.982078472412158,1.6193882432872684,0.0,6.690842277418564,0.061471322088101,4999.0,0.8,1.1314021114911006,0.4346602805519441
Kepler-764 b,Kepler-764,0.9707789171582248,1.6389967146756448,0.0,6.775366090936392,0.0698991273796671,5557.0,0.9200000000000002,1.6428726885203375,0.42843269005178874
Kepler-765 b,Kepler-765,1.2325602611778486,1.247032293786383,0.0,6.464588303689961,0.161608515196413,5901.0,1.05,1.551808799597464,0.3838437962881221
Kepler-766 b,Kepler-766,1.47932922708708,0.959350221334602,0.0,6.898714534329988,0.0639133257436528,5992.0,1.1,1.5325568680981427,0.27334747687941313
Kepler-767 b,Kepler-767,2.033397603178429,0.5128236264286637,0.0,5.905361848054571,0.4620974576746382,5694.0,0.96,1.623340817603092,0.3921923738819569
Kepler-768 b,Kepler-768,1.0260415958332745,1.547562508716013,0.0,6.428105272684596,0.0880108773227133,5108.0,0.8200000000000001,1.717395053939193,0.4627433680206974
Kepler-769 b,Kepler-769,1.366091653802371,1.0818051703517284,0.0,6.945051063725834,0.0749219265172592,6186.0,1.19,1.355835153635182,0.2811388527655033
Kepler-769 c,Kepler-769,1.0260415958332745,1.547562508716013,0.0,6.689599269178967,0.121952110750746,6186.0,1.19,1.355835153635182,0.41944317355303123
Kepler-77 b,Kepler-77,2.4647889728689,0.4718768736274158,0.0,7.273092595999522,0.0440264547489785,5520.0,0.95,2.1400661634962708,0.2243031732539319
Kepler-770 b,Kepler-770,1.1939224684724346,1.297463147413275,0.0,7.066466970136958,0.156490796759433,5598.0,0.94,1.717395053939193,0.3294455182805349
Kepler-770 d,Kepler-770,0.8754687373538999,1.8066480817218056,0.0,7.571473648851271,0.0597772040358607,5598.0,0.94,1.717395053939193,0.4150943605371382
Kepler-771 b,Kepler-771,1.0367368849500225,1.5303947050936475,0.0,6.792344427470809,0.0809346174959992,5906.0,1.03,1.551808799597464,0.3992117364773521
Kepler-772 b,Kepler-772,1.0367368849500225,1.5303947050936475,0.0,6.765038976780541,0.1057374446111821,5714.0,0.98,2.211565694606877,0.40372906579106305
Kepler-773 b,Kepler-773,0.8878912573524571,1.7817091333745536,0.0,7.057036981697891,0.0457569973377283,5850.0,1.04,1.3402504226184837,0.41875720130382893
Kepler-774 b,Kepler-774,1.42791603581071,1.015230679729059,0.0,7.260522598089852,0.1027370774511122,6403.0,1.5700000000000005,1.144222799920162,0.25176553633793075
Kepler-775 b,Kepler-775,0.7839015438284094,1.9315214116032136,0.0,7.385851078125209,0.0181738505788642,5468.0,0.9200000000000002,1.0508216248317612,0.4169816637710605
Kepler-776 b,Kepler-776,0.8241754429663495,1.9035989509835904,0.0,6.807934943699926,0.0509782447646294,5071.0,0.83,1.6808279085207734,0.45874182539983
Kepler-777 b,Kepler-777,0.904218150639886,1.752672080520008,0.0,6.345636360828596,0.0505980527630913,4043.0,0.58,1.425515074273172,0.4964510866415832
Kepler-778 b,Kepler-778,0.9858167945227652,1.6114359150967734,0.0,6.885509670034818,0.0443039255565244,5102.0,0.81,1.8325814637483104,0.40758231002568057
Kepler-779 b,Kepler-779,0.6523251860396903,1.8066480817218056,0.0,6.054439346269371,0.0519280928603591,3804.0,0.4600000000000001,1.5871923034867808,0.5197370862921591
Kepler-78 b,Kepler-78,0.7889118025443247,1.8453002361560848,0.0,7.707062655370473,0.0089696521251352,5058.0,0.779,0.4855078157817007,0.3863603028996453
Kepler-780 b,Kepler-780,0.636576829071551,1.790091412127358,0.0,7.649692623711514,0.0148886124937506,5769.0,1.01,1.7749523509116738,0.39387436126123854
Kepler-781 b,Kepler-781,1.358409157630355,1.091923300517313,0.0,6.4457198193855785,0.0970359625115942,5162.0,0.81,1.7749523509116738,0.3592800642572028
Kepler-782 b,Kepler-782,1.43746264769429,1.0043016091968684,0.0,5.860786223465865,0.4349850746441562,5867.0,0.98,1.8325814637483104,0.46361157740755715
Kepler-783 b,Kepler-783,0.5766133643039938,1.7263316639055994,0.0,6.899723107284872,0.0483900841480922,5521.0,0.9300000000000002,1.5871923034867808,0.4072339722806023
Kepler-783 c,Kepler-783,1.2034338341075783,1.2864740258376797,0.0,6.734591659972948,0.0667516952599836,5411.49,0.94,2.3702437414678603,0.3400867693400561
Kepler-784 b,Kepler-784,0.947789398933526,1.6770965609079151,0.0,6.535241271013659,0.1997602811607891,5674.0,1.0,2.31451366385932,0.45951849386639143
Kepler-784 c,Kepler-784,0.9360933591703348,1.6974487897568138,0.0,6.739336627357174,0.1230137758951442,5676.0,1.016,1.355835153635182,0.43965202876565995
Kepler-785 b,Kepler-785,2.640484881606444,1.269760544863939,0.0,6.625392368007956,0.0246926125903715,4739.0,0.77,1.3402504226184837,0.2762484580352161
Kepler-786 b,Kepler-786,1.2325602611778486,1.247032293786383,0.0,5.855071922202427,0.2270001052411304,4838.0,0.81,1.2556160374777745,0.5089426899551512
